iter	Passed	Remaining
0	320	319788
1	327	163356
2	356	118530
3	369	92094
4	382	76020
5	389	64456
6	403	57309
7	419	51974
8	426	47011
9	444	44023
10	450	40504
11	460	37948
12	469	35660
13	538	37951
14	544	35765
15	551	33947
16	559	32324
17	573	31275
18	583	30144
19	594	29106
20	601	28030
21	663	29490
22	669	28424
23	677	27545
24	686	26785
25	726	27209
26	733	26434
27	739	25664
28	764	25601
29	851	27547
30	871	27234
31	881	26658
32	890	26107
33	947	26910
34	956	26381
35	967	25908
36	974	25351
37	980	24810
38	1014	24987
39	1021	24508
40	1027	24040
41	1034	23597
42	1042	23200
43	1050	22814
44	1108	23519
45	1120	23232
46	1136	23039
47	1163	23074
48	1168	22681
49	1176	22362
50	1184	22045
51	1190	21704
52	1196	21375
53	1211	21227
54	1222	21009
55	1228	20706
56	1273	21067
57	1290	20954
58	1313	20954
59	1321	20704
60	1385	21322
61	1391	21058
62	1402	20855
63	1418	20750
64	1425	20509
65	1431	20259
66	1441	20067
67	1452	19905
68	1457	19670
69	1535	20393
70	1542	20186
71	1552	20009
72	1559	19798
73	1564	19579
74	1597	19696
75	1608	19552
76	1615	19359
77	1625	19209
78	1694	19754
79	1704	19598
80	1711	19415
81	1723	19292
82	1789	19765
83	1861	20301
84	1872	20152
85	1880	19984
86	1904	19990
87	1948	20192
88	1964	20105
89	1971	19936
90	1978	19758
91	2035	20093
92	2047	19964
93	2053	19794
94	2063	19655
95	2074	19533
96	2089	19448
97	2094	19280
98	2104	19153
99	2115	19036
100	2206	19637
101	2222	19569
102	2236	19479
103	2303	19849
104	2314	19729
105	2325	19616
106	2336	19501
107	2396	19795
108	2405	19660
109	2412	19521
110	2422	19401
111	2463	19528
112	2471	19401
113	2477	19255
114	2488	19152
115	2496	19024
116	2546	19217
117	2555	19102
118	2561	18960
119	2568	18836
120	2619	19026
121	2628	18917
122	2635	18792
123	2647	18705
124	2720	19040
125	2731	18948
126	2737	18819
127	2745	18705
128	2775	18739
129	2791	18684
130	2797	18556
131	2812	18494
132	2821	18390
133	2868	18540
134	2879	18447
135	2886	18335
136	2895	18238
137	2906	18153
138	2914	18054
139	2924	17965
140	2978	18144
141	2987	18054
142	3005	18009
143	3014	17916
144	3105	18312
145	3117	18232
146	3130	18163
147	3144	18101
148	3216	18368
149	3235	18333
150	3247	18259
151	3255	18162
152	3271	18109
153	3288	18064
154	3364	18340
155	3371	18240
156	3386	18181
157	3396	18100
158	3451	18256
159	3466	18201
160	3478	18128
161	3486	18036
162	3533	18146
163	3542	18057
164	3556	17999
165	3565	17911
166	3612	18018
167	3621	17933
168	3629	17846
169	3641	17776
170	3672	17803
171	3689	17762
172	3700	17688
173	3708	17604
174	3738	17624
175	3748	17548
176	3756	17465
177	3764	17386
178	3806	17458
179	3817	17389
180	3827	17318
181	3839	17257
182	3913	17471
183	3925	17409
184	3933	17327
185	3964	17349
186	3979	17302
187	3990	17234
188	3997	17155
189	4028	17174
190	4038	17107
191	4050	17045
192	4056	16960
193	4082	16960
194	4089	16882
195	4096	16805
196	4104	16731
197	4149	16807
198	4158	16739
199	4168	16672
200	4176	16602
201	4219	16668
202	4231	16613
203	4244	16563
204	4261	16527
205	4305	16593
206	4316	16536
207	4325	16469
208	4353	16477
209	4433	16677
210	4444	16621
211	4452	16549
212	4462	16488
213	4510	16568
214	4519	16502
215	4539	16475
216	4545	16400
217	4573	16406
218	4583	16345
219	4596	16298
220	4605	16232
221	4645	16281
222	4656	16224
223	4664	16159
224	4677	16110
225	4757	16292
226	4765	16227
227	4780	16187
228	4792	16133
229	4871	16307
230	4896	16300
231	4925	16304
232	4934	16244
233	4986	16322
234	4997	16269
235	5005	16204
236	5011	16134
237	5066	16220
238	5080	16176
239	5090	16118
240	5095	16048
241	5192	16264
242	5202	16207
243	5210	16143
244	5218	16081
245	5270	16153
246	5277	16089
247	5283	16022
248	5291	15958
249	5298	15894
250	5350	15966
251	5443	16156
252	5477	16172
253	5486	16115
254	5492	16047
255	5555	16144
256	5572	16109
257	5584	16060
258	5707	16328
259	5722	16288
260	5739	16249
261	5752	16203
262	5817	16303
263	5829	16250
264	5836	16188
265	5845	16129
266	5898	16193
267	5908	16137
268	5917	16080
269	5934	16043
270	5941	15983
271	5948	15920
272	5961	15876
273	5971	15822
274	5986	15781
275	6000	15741
276	6015	15702
277	6167	16016
278	6180	15971
279	6197	15936
280	6209	15887
281	6373	16227
282	6380	16165
283	6394	16121
284	6411	16084
285	6560	16377
286	6568	16318
287	6590	16292
288	6603	16245
289	6736	16493
290	6743	16429
291	6752	16371
292	6762	16316
293	6848	16444
294	6860	16396
295	6878	16359
296	6967	16493
297	7227	17025
298	7242	16980
299	7248	16913
300	7255	16850
301	7389	17078
302	7401	17026
303	7411	16968
304	7419	16905
305	7535	17091
306	7543	17028
307	7550	16964
308	7573	16936
309	7581	16874
310	7599	16835
311	7612	16786
312	7618	16722
313	7704	16832
314	7710	16766
315	7722	16714
316	7732	16659
317	7793	16713
318	7810	16672
319	7817	16611
320	7824	16551
321	7928	16694
322	7937	16636
323	7943	16574
324	7954	16520
325	7962	16461
326	7969	16402
327	7977	16343
328	7982	16281
329	7989	16220
330	8016	16202
331	8024	16145
332	8029	16083
333	8036	16024
334	8051	15983
335	8063	15934
336	8077	15890
337	8089	15843
338	8165	15920
339	8172	15864
340	8181	15810
341	8189	15755
342	8285	15871
343	8294	15816
344	8301	15761
345	8311	15709
346	8402	15812
347	8414	15764
348	8427	15719
349	8433	15662
350	8549	15807
351	8557	15754
352	8564	15696
353	8572	15643
354	8579	15587
355	8629	15611
356	8637	15557
357	8643	15500
358	8687	15511
359	8694	15456
360	8701	15403
361	8711	15353
362	8768	15386
363	8784	15349
364	8800	15310
365	8808	15258
366	8814	15203
367	8884	15257
368	8894	15209
369	8905	15162
370	8915	15115
371	8972	15146
372	8980	15095
373	8989	15047
374	9003	15006
375	9055	15028
376	9063	14978
377	9070	14925
378	9082	14881
379	9159	14944
380	9168	14895
381	9175	14844
382	9183	14794
383	9191	14744
384	9211	14714
385	9217	14662
386	9225	14612
387	9232	14562
388	9292	14596
389	9299	14545
390	9308	14498
391	9318	14452
392	9378	14485
393	9392	14445
394	9403	14402
395	9409	14352
396	9474	14390
397	9483	14345
398	9492	14297
399	9500	14251
400	9556	14275
401	9563	14225
402	9574	14183
403	9582	14136
404	9664	14198
405	9670	14148
406	9677	14100
407	9687	14057
408	9693	14007
409	9774	14066
410	9784	14022
411	9845	14052
412	9853	14005
413	9867	13966
414	9884	13933
415	9978	14008
416	9992	13969
417	10000	13924
418	10011	13882
419	10122	13978
420	10134	13938
421	10143	13893
422	10164	13865
423	10255	13931
424	10282	13911
425	10295	13872
426	10302	13825
427	10403	13903
428	10411	13858
429	10426	13820
430	10522	13891
431	10530	13845
432	10552	13817
433	10564	13777
434	10662	13849
435	10679	13814
436	10689	13771
437	10700	13730
438	10811	13816
439	10825	13777
440	10831	13729
441	10840	13685
442	10858	13652
443	10866	13607
444	10878	13567
445	10884	13520
446	10894	13478
447	10905	13437
448	10912	13391
449	10930	13359
450	10943	13321
451	11040	13385
452	11050	13343
453	11060	13301
454	11069	13258
455	11149	13301
456	11155	13254
457	11163	13210
458	11171	13167
459	11220	13172
460	11229	13129
461	11234	13083
462	11244	13041
463	11250	12995
464	11334	13040
465	11341	12996
466	11351	12955
467	11359	12912
468	11414	12923
469	11421	12879
470	11434	12842
471	11441	12798
472	11451	12758
473	11534	12799
474	11540	12755
475	11547	12711
476	11553	12667
477	11559	12623
478	11577	12592
479	11585	12550
480	11591	12507
481	11603	12469
482	11653	12473
483	11661	12432
484	11668	12389
485	11674	12346
486	11680	12304
487	11800	12381
488	11827	12359
489	11836	12320
490	11845	12279
491	11887	12273
492	11898	12236
493	11948	12238
494	11958	12200
495	12038	12232
496	12045	12191
497	12056	12153
498	12063	12111
499	12120	12120
500	12130	12082
501	12136	12039
502	12142	11997
503	12152	11959
504	12234	11992
505	12246	11955
506	12254	11916
507	12264	11878
508	12367	11929
509	12375	11889
510	12381	11848
511	12390	11810
512	12398	11770
513	12490	11810
514	12498	11770
515	12505	11730
516	12591	11763
517	12598	11723
518	12606	11683
519	12616	11646
520	12623	11605
521	12708	11636
522	12715	11597
523	12722	11556
524	12728	11515
525	12824	11556
526	12829	11515
527	12839	11478
528	12868	11457
529	12990	11520
530	13002	11484
531	13013	11447
532	13026	11413
533	13284	11592
534	13299	11558
535	13310	11522
536	13321	11485
537	13482	11578
538	13493	11541
539	13504	11504
540	13514	11466
541	13661	11544
542	13675	11509
543	13688	11474
544	13781	11506
545	13788	11465
546	13799	11428
547	13806	11387
548	13884	11406
549	13893	11367
550	13899	11326
551	13911	11290
552	13985	11305
553	13999	11270
554	14005	11229
555	14014	11191
556	14101	11215
557	14112	11178
558	14121	11140
559	14130	11102
560	14216	11124
561	14227	11088
562	14233	11047
563	14242	11010
564	14249	10970
565	14341	10996
566	14363	10969
